100 75
1120 171 189
1121 171 279
1122 86 107
1123 107 255
1124 56 59
1125 35 139
1126 114 192
1127 116 95
1128 180 208
1129 29 285
1130 161 230
1131 86 42
1132 114 295
1133 154 76
1134 177 17
1135 74 115
1136 165 284
1137 149 55
1138 59 224
1139 161 162
1140 34 31
1141 160 211
1142 71 75
1143 34 86
1144 123 38
1145 95 151
1146 171 84
1147 140 181
1148 30 222
1149 124 130
1150 150 162
1151 193 195
1152 81 89
1153 93 287
1154 124 9
1155 133 97
1156 39 4
1157 184 65
1158 159 65
1159 175 165
1160 158 25
1161 27 120
1162 88 206
1163 76 238
1164 163 60
1165 139 169
1166 101 63
1167 155 117
1168 200 63
1169 200 215
1170 91 108
1171 184 213
1172 151 19
1173 166 293
1174 47 232
1175 53 236
1176 136 171
1177 59 167
1178 61 159
1179 44 7
1180 150 223
1181 175 242
1182 41 289
1183 70 188
1184 167 17
1185 91 225
1186 128 114
1187 138 287
1188 104 167
1189 115 18
1190 58 136
1191 57 157
1192 62 111
1193 55 186
1194 65 127
1195 161 290
1196 161 171
1197 167 85
1198 80 145
1199 81 14
1200 33 75
1201 79 37
1202 84 128
1203 143 175
1204 46 53
1205 40 143
1206 128 196
1207 111 50
1208 154 73
1209 127 79
1210 79 231
1211 136 51
1212 150 103
1213 80 13
1214 67 160
1215 114 107
1216 146 16
1217 75 277
1218 47 217
1219 119 188
