1000 700
1120 148 920
1121 177 1662
1122 70 322
1123 112 2588
1124 193 1274
1125 95 1851
1126 168 1412
1127 91 113
1128 79 1078
1129 96 832
1130 94 375
1131 132 1526
1132 63 510
1133 88 2049
1134 170 1033
1135 148 1653
1136 160 900
1137 50 2277
1138 77 1409
1139 56 1078
1140 34 2982
1141 56 1193
1142 146 194
1143 26 1088
1144 200 1161
1145 87 2421
1146 63 2042
1147 146 1973
1148 191 1578
1149 61 2080
1150 58 1736
1151 29 2265
1152 172 1398
1153 150 1560
1154 119 405
1155 157 2488
1156 171 2916
1157 169 2484
1158 174 42
1159 131 2437
1160 194 2842
1161 81 2736
1162 139 506
1163 196 2138
1164 99 784
1165 153 2396
1166 168 2301
1167 77 2507
1168 139 554
1169 114 505
1170 70 703
1171 48 2400
1172 122 1728
1173 83 1783
1174 113 2806
1175 195 322
1176 71 779
1177 89 2585
1178 141 2468
1179 178 1071
1180 68 291
1181 99 123
1182 39 2831
1183 37 641
1184 152 694
1185 73 2045
1186 60 1841
1187 165 70
1188 40 679
1189 180 2689
1190 164 423
1191 162 834
1192 177 771
1193 83 2837
1194 174 2492
1195 84 1193
1196 182 1726
1197 115 77
1198 108 1295
1199 101 2291
1200 181 2214
1201 71 1088
1202 174 483
1203 61 1973
1204 186 361
1205 133 1997
1206 143 2375
1207 47 2335
1208 73 953
1209 164 734
1210 156 79
1211 191 930
1212 68 241
1213 198 1063
1214 160 2074
1215 25 1228
1216 175 2391
1217 43 2692
1218 146 1176
1219 153 1387
1220 48 1029
1221 143 2318
1222 43 917
1223 36 547
1224 85 1175
1225 65 17
1226 85 559
1227 42 760
1228 199 2655
1229 30 38
1230 64 2878
1231 97 367
1232 77 932
1233 114 2494
1234 59 2074
1235 80 994
1236 191 1614
1237 175 857
1238 115 2666
1239 164 1751
1240 161 388
1241 79 2445
1242 58 416
1243 37 2096
1244 174 82
1245 78 1798
1246 112 1102
1247 180 2580
1248 129 2573
1249 113 1491
1250 199 2952
1251 172 2453
1252 53 146
1253 85 1447
1254 132 2416
1255 70 1004
1256 115 2668
1257 64 1452
1258 84 1708
1259 132 505
1260 46 385
1261 134 1749
1262 198 2169
1263 160 871
1264 70 400
1265 41 1444
1266 103 2197
1267 184 2267
1268 86 1908
1269 26 2505
1270 156 1615
1271 36 2182
1272 58 1660
1273 146 2069
1274 191 1533
1275 38 2156
1276 61 2931
1277 32 754
1278 188 2583
1279 112 1897
1280 102 1337
1281 52 1036
1282 69 1587
1283 175 578
1284 142 1720
1285 75 2873
1286 110 1294
1287 95 2319
1288 137 2688
1289 60 672
1290 92 1665
1291 91 488
1292 147 1435
1293 113 1046
1294 129 217
1295 54 2055
1296 81 633
1297 138 2437
1298 155 1096
1299 182 417
1300 151 448
1301 121 852
1302 182 2343
1303 179 2046
1304 30 1910
1305 173 601
1306 38 248
1307 40 2168
1308 26 2681
1309 158 754
1310 81 859
1311 88 2153
1312 196 250
1313 189 1062
1314 177 1954
1315 174 1864
1316 154 1767
1317 163 1847
1318 149 237
1319 116 491
1320 106 1665
1321 179 2719
1322 192 2883
1323 143 1297
1324 187 156
1325 74 163
1326 38 2210
1327 131 2505
1328 91 1607
1329 47 1507
1330 40 2044
1331 170 665
1332 154 437
1333 167 2623
1334 25 1107
1335 121 171
1336 99 1907
1337 89 2034
1338 157 2479
1339 98 2055
1340 58 2731
1341 73 648
1342 36 2235
1343 80 2102
1344 161 1070
1345 33 1753
1346 162 1330
1347 161 1627
1348 62 2280
1349 81 143
1350 138 2065
1351 97 508
1352 28 553
1353 53 464
1354 120 574
1355 167 2665
1356 136 2791
1357 88 2948
1358 82 1168
1359 113 218
1360 173 361
1361 34 2702
1362 163 2091
1363 177 1512
1364 162 2929
1365 190 2811
1366 162 1966
1367 174 669
1368 175 562
1369 188 2902
1370 191 1002
1371 110 2142
1372 121 934
1373 25 522
1374 69 1842
1375 147 1337
1376 98 413
1377 103 1596
1378 79 2719
1379 124 1928
1380 63 2113
1381 66 2344
1382 63 2407
1383 116 1301
1384 168 1496
1385 170 1454
1386 185 1471
1387 35 993
1388 180 388
1389 146 1504
1390 189 2605
1391 129 1782
1392 177 1583
1393 186 223
1394 149 837
1395 198 2003
1396 85 1239
1397 139 1379
1398 29 1358
1399 151 964
1400 197 1232
1401 81 54
1402 127 363
1403 150 2810
1404 54 2560
1405 194 330
1406 52 1858
1407 168 2532
1408 80 193
1409 186 2444
1410 189 2255
1411 142 1329
1412 173 144
1413 124 1489
1414 174 90
1415 100 2058
1416 58 1868
1417 103 2080
1418 174 157
1419 193 332
1420 124 554
1421 109 2231
1422 59 124
1423 106 554
1424 44 1867
1425 69 2048
1426 25 2147
1427 145 1965
1428 66 788
1429 101 1495
1430 181 2904
1431 137 254
1432 195 2663
1433 125 1704
1434 131 1222
1435 59 2886
1436 55 400
1437 132 1890
1438 147 1229
1439 131 1543
1440 167 2792
1441 62 1567
1442 162 1318
1443 91 1579
1444 113 983
1445 170 686
1446 142 626
1447 59 8
1448 184 976
1449 168 811
1450 29 1450
1451 32 1675
1452 33 516
1453 188 2724
1454 40 7
1455 74 2191
1456 158 1855
1457 37 2087
1458 157 1288
1459 73 2981
1460 70 1090
1461 26 508
1462 187 2309
1463 75 2707
1464 84 2930
1465 149 2832
1466 108 2268
1467 186 580
1468 159 2422
1469 199 1879
1470 156 2272
1471 45 2929
1472 47 2177
1473 95 1651
1474 200 383
1475 111 438
1476 49 1
1477 185 891
1478 149 2163
1479 69 2944
1480 29 1817
1481 159 1176
1482 37 1632
1483 91 1219
1484 181 2762
1485 97 1184
1486 25 1869
1487 48 511
1488 38 478
1489 153 2213
1490 125 1496
1491 146 37
1492 152 946
1493 159 804
1494 117 2228
1495 59 2905
1496 148 873
1497 96 2832
1498 200 186
1499 83 1613
1500 115 1851
1501 180 2332
1502 136 1260
1503 90 2117
1504 73 2707
1505 49 301
1506 82 1683
1507 185 49
1508 52 1968
1509 172 88
1510 99 1950
1511 192 2590
1512 86 1423
1513 70 381
1514 113 824
1515 193 1907
1516 34 2141
1517 182 745
1518 128 1784
1519 45 2840
1520 90 1894
1521 37 43
1522 104 829
1523 107 555
1524 92 1294
1525 91 1342
1526 35 986
1527 76 768
1528 33 705
1529 108 1369
1530 176 845
1531 187 1905
1532 25 2217
1533 82 736
1534 104 214
1535 119 2489
1536 35 1419
1537 179 34
1538 80 2621
1539 61 2747
1540 90 1935
1541 113 1860
1542 72 2372
1543 171 32
1544 148 1478
1545 128 2307
1546 106 2027
1547 59 2658
1548 35 1564
1549 49 2242
1550 146 2024
1551 146 1236
1552 26 1964
1553 86 41
1554 136 2562
1555 28 201
1556 112 876
1557 100 2119
1558 143 2038
1559 103 1026
1560 75 902
1561 76 189
1562 72 2246
1563 78 1522
1564 90 1295
1565 123 2939
1566 174 196
1567 118 759
1568 55 147
1569 56 1094
1570 164 587
1571 166 1555
1572 38 705
1573 98 2412
1574 62 528
1575 109 609
1576 133 1472
1577 197 1709
1578 133 1346
1579 190 2230
1580 168 1345
1581 160 309
1582 44 694
1583 180 1051
1584 184 2571
1585 104 900
1586 197 1142
1587 150 2322
1588 62 831
1589 53 1588
1590 86 2873
1591 76 139
1592 96 344
1593 127 2412
1594 73 2428
1595 154 2033
1596 92 1161
1597 45 16
1598 118 1112
1599 114 46
1600 162 913
1601 113 1542
1602 126 1102
1603 119 1252
1604 149 299
1605 127 642
1606 83 2386
1607 156 1866
1608 177 2626
1609 110 1769
1610 62 623
1611 193 177
1612 39 494
1613 56 1341
1614 165 1961
1615 34 2639
1616 138 2682
1617 36 2279
1618 175 2747
1619 154 67
1620 141 720
1621 85 568
1622 185 1840
1623 105 185
1624 162 1414
1625 138 1223
1626 180 2754
1627 79 1523
1628 95 1943
1629 127 2556
1630 119 1600
1631 114 1128
1632 73 725
1633 47 2767
1634 183 1640
1635 34 868
1636 184 1246
1637 75 2816
1638 173 1219
1639 81 2254
1640 161 1954
1641 196 2372
1642 187 2227
1643 198 10
1644 113 1108
1645 69 2775
1646 187 1758
1647 127 2043
1648 34 2013
1649 34 657
1650 76 2347
1651 132 363
1652 176 310
1653 155 1380
1654 88 531
1655 146 1864
1656 92 1813
1657 52 2246
1658 143 2833
1659 87 2911
1660 37 1819
1661 126 1351
1662 152 940
1663 186 1114
1664 64 2907
1665 106 1307
1666 101 645
1667 38 548
1668 82 2552
1669 87 537
1670 66 616
1671 57 269
1672 101 988
1673 138 467
1674 108 2121
1675 138 2112
