100 35
1120 164 179
1121 73 51
1122 140 165
1123 139 201
1124 138 23
1125 170 207
1126 45 220
1127 55 269
1128 190 84
1129 88 105
1130 88 215
1131 72 258
1132 90 70
1133 72 18
1134 187 121
1135 129 222
1136 183 157
1137 72 262
1138 133 286
1139 106 182
1140 145 287
1141 89 81
1142 54 251
1143 137 300
1144 107 80
1145 64 246
1146 178 112
1147 107 240
1148 93 282
1149 149 123
1150 150 158
1151 92 204
1152 118 172
1153 53 87
1154 189 130
1155 96 217
1156 136 108
1157 114 73
1158 143 150
1159 136 145
1160 178 228
1161 146 27
1162 39 96
1163 198 219
1164 69 27
1165 50 282
1166 152 241
1167 125 249
1168 184 101
1169 159 21
1170 102 55
1171 57 97
1172 142 38
1173 129 24
1174 60 293
1175 108 169
1176 168 9
1177 55 62
1178 144 213
1179 152 284
1180 127 125
1181 181 226
1182 110 201
1183 74 281
1184 185 209
1185 193 282
1186 191 290
1187 162 228
1188 123 103
1189 192 266
1190 83 171
1191 122 118
1192 80 133
1193 95 139
1194 69 210
1195 75 139
1196 39 139
1197 176 256
1198 88 237
1199 144 92
1200 57 289
1201 86 211
1202 178 7
1203 43 108
1204 65 142
1205 186 255
1206 124 11
1207 36 47
1208 187 54
1209 130 291
1210 80 8
1211 89 102
1212 162 244
1213 145 289
1214 153 292
1215 113 77
1216 152 258
1217 160 61
1218 148 126
1219 93 177
